TotalExpense,-9594.41
TotalInflow,11226.06
TotalTransfer,1045.00
Books,0.00
Business Expense,0.00
Cell Phone,-281.56
Charity,0.00
D-Activities,0.00
D-Coffee,-25.00
D-Fast Food,0.00
D-Restaurant,-201.90
D-Travel,-2388.01
Gifts,590.74
Grocery,-879.45
Gym fees,0.00
Health Care,0.00
Property Tax,0.00
Home Maintainence/Improvement,-35.75
Home Insurance,0.00
Internet,-78.94
Laundry,0.00
Magazines,0.00
Mortgage/Rent,-4898.77
Movies/Software/Online Service,-6.17
Newspapers,-22.98
Parent Support,0.00
Public Transit,-20.00
Religious organizations,0.00
Salon/barber,0.00
Taxi and rental,0.00
Tax,-0.20
Gas,-141.29
Car Related,-759.97
Parking,0.00
Uncategorized,12.48
Utility,-392.87
Finance Charges,0.00
Wedding,0.00
Childcare,-64.77
z-New Asset,0.00
Interest,1.13
Paychecks/Salary,3324.93
Reimbursement,0.00
Gift Income,7900.00
Tax Rebate,0.00
Cash Rebate,0.00
Home Equity,0.00
Jeanne,0.00
Rental Income,0.00
Transfer to Brokerage,0.00
Relative Transfer,0.00
Credit Card Payments,1045.00
Transfers,0.00
Retirement Contributions,0.00
