TotalExpense,-6989.14
TotalInflow,8425.37
TotalTransfer,0.0
Books,
Business Expense,
Cell Phone,-176.08
Charity,
D-Activities,
D-Coffee,-38.72
D-Fast Food,
D-Restaurant,-7.78
D-Travel,21.26
Gifts,464.0
Grocery,-53.4
Gym fees,
Health Care,-963.82
Property Tax,
Home Maintainence/Improvement,-5.97
Home Insurance,
Internet,-78.87
Laundry,
Magazines,
Mortgage/Rent,-5072.18
Movies/Software/Online Service,
Newspapers,-22.98
Parent Support,
Public Transit,-9.0
Religious organizations,
Salon/barber,
Taxi and rental,
Tax,-0.05
Gas,-94.07
Car Related,-759.97
Parking,
Uncategorized,
Utility,-191.51
Finance Charges,
Wedding,
z-New Asset,
Interest,0.44
Paychecks/Salary,3324.9300000000003
Reimbursement,
Gift Income,
Tax Rebate,
Cash Rebate,
Home Equity,
Jeanne,
Rental Income,5100.0
Transfer to Brokerage,
Relative Transfer,
Credit Card Payments,0.0
Transfers,0.0
Retirement Contributions,
