TotalExpense,-10060.96
TotalInflow,13285.78
TotalTransfer,3000.0
Books,
Business Expense,
Cell Phone,-176.08
Charity,
D-Activities,
D-Coffee,-19.18
D-Fast Food,
D-Restaurant,
D-Travel,-76.16
Gifts,-100.5
Grocery,-505.8400000000001
Gym fees,
Health Care,
Property Tax,
Home Maintainence/Improvement,250.0
Home Insurance,
Internet,-78.94
Laundry,
Magazines,
Mortgage/Rent,-7027.59
Movies/Software/Online Service,
Newspapers,-22.98
Parent Support,
Public Transit,
Religious organizations,
Salon/barber,
Taxi and rental,
Tax,-25.069999999999997
Gas,-179.80999999999997
Car Related,-1674.6299999999999
Parking,
Uncategorized,
Utility,-424.17999999999995
Finance Charges,0.0
Wedding,
z-New Asset,
Interest,0.6
Paychecks/Salary,3306.1800000000003
Reimbursement,
Gift Income,9979.0
Tax Rebate,
Cash Rebate,
Home Equity,
Jeanne,
Rental Income,
Transfer to Brokerage,
Relative Transfer,
Credit Card Payments,0.0
Transfers,3000.0
Retirement Contributions,
