TotalExpense,-6344.67
TotalInflow,18697.38
TotalTransfer,28789.83
Books,
Business Expense,
Cell Phone,
Charity,
D-Activities,
D-Coffee,-30.55
D-Fast Food,
D-Restaurant,-75.50999999999999
D-Travel,-873.04
Gifts,-200.0
Grocery,-230.1
Gym fees,
Health Care,
Property Tax,
Home Maintainence/Improvement,94.85
Home Insurance,-1367.21
Internet,-78.94
Laundry,
Magazines,
Mortgage/Rent,-3116.77
Movies/Software/Online Service,
Newspapers,-55.970000000000006
Parent Support,
Public Transit,-42.0
Religious organizations,
Salon/barber,
Taxi and rental,
Tax,-0.07
Gas,-163.0
Car Related,-120.13999999999996
Parking,
Uncategorized,
Utility,-86.22
Finance Charges,
Wedding,
z-New Asset,
Interest,0.5900000000000001
Paychecks/Salary,3287.4300000000003
Reimbursement,
Gift Income,
Tax Rebate,12947.0
Cash Rebate,
Home Equity,
Jeanne,
Rental Income,2462.36
Transfer to Brokerage,
Relative Transfer,
Credit Card Payments,0.0
Transfers,28789.83
Retirement Contributions,
